"","id","idgroup","sessionid","subject","period","condition","type","grouptype","contribution_id","roundprofit_id","sum_contribution_g","avg_contribution_g","avg_contr_g_others","strategic_ability","bin_strategic_ability","group_ability_cont","group_ability_cat","group_ability_bin","group_subjectid"
"30",145,"49","160324_1558",1,1,"RAND","Freerider","grouptype_is_mixed",0,32,20,6.66666666666667,10,59.468818288788,1,40.3440354121141,"MEDIUM","LOW_STRAT",1
"31",45,"15","160321_1405",21,1,"STRAT","CondCoop","grouptype_is_mixed",20,13.2,22,7.33333333333333,1,31.1111111111111,0,30.7746390458255,"LOW","LOW_STRAT",1
"32",147,"49","160324_1558",3,1,"RAND","CondCoop","grouptype_is_mixed",20,12,20,6.66666666666667,0,49.4503277861826,1,40.3440354121141,"MEDIUM","LOW_STRAT",2
"33",35,"15","160321_1405",11,1,"STRAT","Freerider","grouptype_is_mixed",0,33.2,22,7.33333333333333,11,30.7947269303201,0,30.7746390458255,"LOW","LOW_STRAT",2
"34",105,"38","160323_1352",9,1,"PREF","Others","Others",10,28,30,10,10,40.0539811066127,0,48.349077822762,"MEDIUM","HIGH_STRAT",1
"35",185,"62","160329_1355",17,1,"RAND","CondCoop","grouptype_is_mixed",10,31,35,11.6666666666667,12.5,33.5283930361863,0,39.3242791602103,"MEDIUM","LOW_STRAT",1
"36",40,"15","160321_1405",16,1,"STRAT","Freerider","grouptype_is_mixed",2,31.2,22,7.33333333333333,10,30.4180790960452,0,30.7746390458255,"LOW","LOW_STRAT",3
"37",163,"55","160324_1558",19,1,"RAND","CondCoop","grouptype_is_mixed",5,28.2,22,7.33333333333333,8.5,17.7777777777778,0,36.097943631983,"LOW","LOW_STRAT",1
"38",68,"24","160321_1553",20,1,"STRAT","CondCoop","grouptype_is_mixed",10,28,30,10,10,0,0,4.44444444444444,"LOW","LOW_STRAT",1
"39",10,"5","160321_1143",10,1,"STRAT","CondCoop","grouptype_is_mixed",20,30,50,16.6666666666667,15,40.7889546351085,0,42.4326101249178,"MEDIUM","HIGH_STRAT",3
"40",63,"24","160321_1553",15,1,"STRAT","Others","grouptype_is_mixed",0,38,30,10,15,6.66666666666667,0,4.44444444444444,"LOW","LOW_STRAT",2
"41",160,"54","160324_1558",16,1,"RAND","Freerider","grouptype_is_mixed",0,32,20,6.66666666666667,10,21.19011598588,0,41.6271642292822,"MEDIUM","LOW_STRAT",2
"42",97,"40","160323_1352",1,1,"PREF","CondCoop","grouptype_is_mixed",2,28.8,18,6,8,44.0665766981556,1,46.3967611336032,"MEDIUM","HIGH_STRAT",2
"43",114,"38","160323_1352",18,1,"PREF","Others","Others",0,38,30,10,15,44.3364822312191,1,48.349077822762,"MEDIUM","HIGH_STRAT",2
"44",176,"59","160329_1355",8,1,"RAND","Others","grouptype_is_mixed",20,15,25,8.33333333333333,2.5,21.7154315923799,0,18.6680035244432,"LOW","LOW_STRAT",2
"45",9,"8","160321_1143",9,1,"STRAT","UncondCoop","grouptype_is_mixed",15,28.4,39,13,12,26.6666666666667,0,25.2991452991453,"LOW","LOW_STRAT",2
"46",50,"23","160321_1553",2,1,"STRAT","CondCoop","grouptype_is_mixed",5,34.8,33,11,14,20.3212851405622,0,22.9808121374386,"LOW","LOW_STRAT",1
"47",111,"39","160323_1352",15,1,"PREF","Others","Others",20,15.6,26,8.66666666666667,3,76.0053981106613,1,55.1896836107362,"HIGH","HIGH_STRAT",1
"48",91,"25","160323_1155",19,1,"PREF","Freerider","Freerider",0,20.6,1,0.333333333333333,0.5,33.3333333333333,0,33.4343434343434,"LOW","LOW_STRAT",1
"49",67,"21","160321_1553",19,1,"STRAT","Freerider","grouptype_is_mixed",18,36.8,58,19.3333333333333,20,44.4444444444444,1,43.0789825970549,"MEDIUM","HIGH_STRAT",3
"50",151,"51","160324_1558",7,1,"RAND","Others","grouptype_is_mixed",20,18,30,10,5,6.66666666666667,0,34.9918753852188,"LOW","LOW_STRAT",2
"51",58,"23","160321_1553",10,1,"STRAT","Others","grouptype_is_mixed",8,31.8,33,11,12.5,24.1767068273092,0,22.9808121374386,"LOW","LOW_STRAT",2
"52",22,"7","160321_1143",22,1,"STRAT","Others","grouptype_is_mixed",11,27.6,31,10.3333333333333,10,31.1242603550296,0,33.5218058294981,"LOW","LOW_STRAT",1
