"","id","type","condition","condition_contr_table","preferred_contribution","avg_group_contr"
"124","123","CondCoop","PREF","cond1",0,0
"125","77","CondCoop","PREF","cond1",0,0
"126","139","CondCoop","PREF","cond1",0,0
"127","109","CondCoop","PREF","cond1",0,0
"128","28","CondCoop","STRAT","cond1",0,0
"129","118","CondCoop","PREF","cond1",0,0
"130","131","CondCoop","PREF","cond1",0,0
"131","96","CondCoop","PREF","cond1",0,0
"132","110","CondCoop","PREF","cond1",100,0
"133","130","CondCoop","PREF","cond1",10,0
"134","188","CondCoop","RAND","cond1",0,0
"135","127","CondCoop","PREF","cond1",0,0
"136","99","CondCoop","PREF","cond1",0,0
"137","192","CondCoop","RAND","cond1",0,0
"138","154","CondCoop","RAND","cond1",0,0
"139","128","CondCoop","PREF","cond1",0,0
"140","27","CondCoop","STRAT","cond1",0,0
"141","136","CondCoop","PREF","cond1",0,0
"142","126","CondCoop","PREF","cond1",0,0
"143","46","CondCoop","STRAT","cond1",0,0
"144","156","CondCoop","RAND","cond1",10,0
"145","135","CondCoop","PREF","cond1",0,0
"146","132","CondCoop","PREF","cond1",0,0
"147","83","CondCoop","PREF","cond1",0,0
"148","115","CondCoop","PREF","cond1",0,0
"149","133","CondCoop","PREF","cond1",0,0
"150","187","CondCoop","RAND","cond1",1,0
"151","59","CondCoop","STRAT","cond1",0,0
"152","141","Freerider","PREF","cond1",0,0
"153","4","CondCoop","STRAT","cond1",0,0
"154","117","Freerider","PREF","cond1",0,0
"155","13","Others","STRAT","cond1",15,0
"156","72","Others","STRAT","cond1",0,0
"157","179","Freerider","RAND","cond1",0,0
"158","170","UncondCoop","RAND","cond1",200,0
"159","103","Freerider","PREF","cond1",0,0
"160","48","CondCoop","STRAT","cond1",0,0
"161","1","CondCoop","STRAT","cond1",0,0
"162","52","CondCoop","STRAT","cond1",20,0
"163","66","CondCoop","STRAT","cond1",0,0
"164","124","Freerider","PREF","cond1",0,0
"165","16","Others","STRAT","cond1",0,0
"166","71","Freerider","STRAT","cond1",0,0
"167","92","Freerider","PREF","cond1",0,0
"168","33","Others","STRAT","cond1",0,0
"169","3","CondCoop","STRAT","cond1",0,0
"170","178","Freerider","RAND","cond1",0,0
"171","69","Freerider","STRAT","cond1",0,0
"172","169","Others","RAND","cond1",100,0
"173","94","Freerider","PREF","cond1",0,0
"174","19","Others","STRAT","cond1",100,0
"175","26","CondCoop","STRAT","cond1",0,0
"176","106","Freerider","PREF","cond1",0,0
"177","180","CondCoop","RAND","cond1",0,0
"178","137","Freerider","PREF","cond1",0,0
"179","76","Freerider","PREF","cond1",0,0
"180","171","Freerider","RAND","cond1",0,0
"181","51","CondCoop","STRAT","cond1",0,0
"182","32","CondCoop","STRAT","cond1",0,0
"183","5","CondCoop","STRAT","cond1",0,0
"184","34","CondCoop","STRAT","cond1",0,0
"185","7","Freerider","STRAT","cond1",0,0
"186","29","CondCoop","STRAT","cond1",50,0
"187","64","CondCoop","STRAT","cond1",0,0
"188","53","CondCoop","STRAT","cond1",40,0
"189","49","CondCoop","STRAT","cond1",0,0
"190","61","CondCoop","STRAT","cond1",0,0
"191","17","CondCoop","STRAT","cond1",0,0
"192","62","CondCoop","STRAT","cond1",0,0
"193","173","CondCoop","RAND","cond2",10,10
"194","172","CondCoop","RAND","cond2",10,10
"195","159","Others","RAND","cond2",5,10
"196","42","CondCoop","STRAT","cond2",0,10
"197","70","CondCoop","STRAT","cond2",10,10
"198","41","Freerider","STRAT","cond2",0,10
"199","21","CondCoop","STRAT","cond2",50,10
"200","56","Others","STRAT","cond2",20,10
"201","125","Freerider","PREF","cond2",1,10
"202","12","Freerider","STRAT","cond2",0,10
"203","2","UncondCoop","STRAT","cond2",200,10
"204","11","CondCoop","STRAT","cond2",0,10
"205","174","Freerider","RAND","cond2",0,10
"206","23","CondCoop","STRAT","cond2",9,10
"207","116","CondCoop","PREF","cond2",30,10
"208","138","Freerider","PREF","cond2",0,10
"209","157","Freerider","RAND","cond2",0,10
"210","38","Others","STRAT","cond2",40,10
"211","44","CondCoop","STRAT","cond2",0,10
"212","142","Others","PREF","cond2",20,10
"213","8","CondCoop","STRAT","cond2",10,10
"214","87","Freerider","PREF","cond2",0,10
"215","57","CondCoop","STRAT","cond2",0,10
"216","31","Freerider","STRAT","cond2",0,10
"217","149","Freerider","RAND","cond2",0,10
"218","152","CondCoop","RAND","cond2",0,10
"219","177","Freerider","RAND","cond2",0,10
"220","162","Others","RAND","cond2",10,10
"221","37","Freerider","STRAT","cond2",0,10
"222","145","Freerider","RAND","cond2",0,10
"223","45","CondCoop","STRAT","cond2",10,10
"224","147","CondCoop","RAND","cond2",0,10
"225","35","Freerider","STRAT","cond2",0,10
"226","105","Others","PREF","cond2",190,10
"227","185","CondCoop","RAND","cond2",90,10
"228","40","Freerider","STRAT","cond2",0,10
"229","163","CondCoop","RAND","cond2",10,10
"230","68","CondCoop","STRAT","cond2",5,10
"231","10","CondCoop","STRAT","cond2",10,10
"232","63","Others","STRAT","cond2",20,10
"233","160","Freerider","RAND","cond2",0,10
"234","97","CondCoop","PREF","cond2",5,10
"235","114","Others","PREF","cond2",30,10
"236","176","Others","RAND","cond2",20,10
"237","9","UncondCoop","STRAT","cond2",100,10
"238","50","CondCoop","STRAT","cond2",15,10
"239","111","Others","PREF","cond2",150,10
"240","91","Freerider","PREF","cond2",0,10
"241","67","Freerider","STRAT","cond2",0,10
"242","151","Others","RAND","cond2",200,10
"243","58","Others","STRAT","cond2",70,10
"244","22","Others","STRAT","cond2",60,10
"245","158","Freerider","RAND","cond2",0,10
"246","85","Others","PREF","cond2",0,10
"247","148","CondCoop","RAND","cond2",10,10
"248","6","Freerider","STRAT","cond2",0,10
"249","183","CondCoop","RAND","cond2",1,10
"250","121","Freerider","PREF","cond2",0,10
"251","104","Freerider","PREF","cond2",0,10
"252","181","Freerider","RAND","cond2",0,10
"253","100","Freerider","PREF","cond2",0,10
"254","108","Freerider","PREF","cond2",0,10
"255","80","Freerider","PREF","cond2",0,10
"256","30","UncondCoop","STRAT","cond2",20,10
"257","60","Freerider","STRAT","cond2",10,10
"258","88","UncondCoop","PREF","cond2",200,10
"259","15","CondCoop","STRAT","cond2",0,10
"260","107","Others","PREF","cond2",0,10
"261","79","Others","PREF","cond2",10,10
"262","39","CondCoop","STRAT","cond2",1,10
"263","119","Freerider","PREF","cond2",0,10
"264","47","Freerider","STRAT","cond2",0,10
"265","120","Freerider","PREF","cond2",0,10
"266","122","Freerider","PREF","cond2",0,10
"267","150","CondCoop","RAND","cond2",150,10
"268","168","CondCoop","RAND","cond2",10,10
"269","55","Freerider","STRAT","cond2",0,10
"270","112","Freerider","PREF","cond2",0,10
"271","182","CondCoop","RAND","cond2",10,10
"272","65","Others","STRAT","cond2",0,10
"273","24","CondCoop","STRAT","cond2",5,10
"274","134","Others","PREF","cond2",0,10
"275","144","Freerider","PREF","cond2",0,10
"276","143","Others","PREF","cond2",5,10
"277","25","Others","STRAT","cond2",10,10
"278","153","CondCoop","RAND","cond2",0,10
"279","165","Freerider","RAND","cond2",0,10
"280","129","Freerider","PREF","cond2",0,10
"281","161","CondCoop","RAND","cond2",0,10
"282","113","Others","PREF","cond2",20,10
"283","146","Others","RAND","cond2",20,10
"284","89","Freerider","PREF","cond2",0,10
"285","20","CondCoop","STRAT","cond2",0,10
"286","43","CondCoop","STRAT","cond2",0,10
"287","175","Others","RAND","cond2",140,10
"288","167","Others","RAND","cond2",2,10
"289","166","CondCoop","RAND","cond2",0,10
"290","184","Freerider","RAND","cond2",0,10
"291","95","Others","PREF","cond2",0,10
"292","14","Freerider","STRAT","cond2",0,10
"293","164","Others","RAND","cond2",0,10
"294","54","Others","STRAT","cond2",0,10
"295","186","CondCoop","RAND","cond2",0,10
"296","18","Freerider","STRAT","cond2",0,10
"297","84","Freerider","PREF","cond2",0,10
"298","101","Others","PREF","cond2",10,10
"299","36","Freerider","STRAT","cond2",0,10
"300","98","Freerider","PREF","cond2",0,10
"301","86","CondCoop","PREF","cond2",10,10
"302","82","CondCoop","PREF","cond2",20,10
"303","78","CondCoop","PREF","cond2",10,10
"304","155","CondCoop","RAND","cond2",0,10
"305","190","CondCoop","RAND","cond2",0,10
"306","74","CondCoop","PREF","cond2",0,10
"307","90","CondCoop","PREF","cond2",10,10
"308","140","CondCoop","PREF","cond2",5,10
"309","102","CondCoop","PREF","cond2",10,10
"310","189","CondCoop","RAND","cond2",10,10
"311","93","CondCoop","PREF","cond2",15,10
"312","75","CondCoop","PREF","cond2",10,10
"313","81","CondCoop","PREF","cond2",0,10
"314","73","CondCoop","PREF","cond2",0,10
"315","191","CondCoop","RAND","cond2",10,10
"316","123","CondCoop","PREF","cond2",5,10
"317","77","CondCoop","PREF","cond2",10,10
"318","139","CondCoop","PREF","cond2",10,10
"319","109","CondCoop","PREF","cond2",0,10
"320","28","CondCoop","STRAT","cond2",0,10
"321","118","CondCoop","PREF","cond2",3,10
"322","131","CondCoop","PREF","cond2",5,10
"323","96","CondCoop","PREF","cond2",0,10
"324","110","CondCoop","PREF","cond2",110,10
"325","130","CondCoop","PREF","cond2",30,10
"326","188","CondCoop","RAND","cond2",0,10
"327","127","CondCoop","PREF","cond2",10,10
"328","99","CondCoop","PREF","cond2",0,10
"329","192","CondCoop","RAND","cond2",10,10
"330","154","CondCoop","RAND","cond2",0,10
"331","128","CondCoop","PREF","cond2",10,10
"332","27","CondCoop","STRAT","cond2",5,10
"333","136","CondCoop","PREF","cond2",100,10
"334","126","CondCoop","PREF","cond2",0,10
"335","46","CondCoop","STRAT","cond2",0,10
"336","156","CondCoop","RAND","cond2",20,10
"337","135","CondCoop","PREF","cond2",5,10
"338","132","CondCoop","PREF","cond2",0,10
"339","83","CondCoop","PREF","cond2",0,10
"340","115","CondCoop","PREF","cond2",20,10
"341","133","CondCoop","PREF","cond2",0,10
"342","187","CondCoop","RAND","cond2",5,10
"343","59","CondCoop","STRAT","cond2",10,10
"344","141","Freerider","PREF","cond2",0,10
"345","4","CondCoop","STRAT","cond2",10,10
"346","117","Freerider","PREF","cond2",0,10
"347","13","Others","STRAT","cond2",20,10
"348","72","Others","STRAT","cond2",5,10
"349","179","Freerider","RAND","cond2",0,10
"350","170","UncondCoop","RAND","cond2",200,10
"351","103","Freerider","PREF","cond2",0,10
"352","48","CondCoop","STRAT","cond2",0,10
"353","1","CondCoop","STRAT","cond2",5,10
"354","52","CondCoop","STRAT","cond2",50,10
"355","66","CondCoop","STRAT","cond2",10,10
"356","124","Freerider","PREF","cond2",0,10
"357","16","Others","STRAT","cond2",0,10
"358","71","Freerider","STRAT","cond2",0,10
"359","92","Freerider","PREF","cond2",0,10
"360","33","Others","STRAT","cond2",0,10
"361","3","CondCoop","STRAT","cond2",5,10
"362","178","Freerider","RAND","cond2",5,10
"363","69","Freerider","STRAT","cond2",0,10
"364","169","Others","RAND","cond2",100,10
"365","94","Freerider","PREF","cond2",0,10
"366","19","Others","STRAT","cond2",90,10
"367","26","CondCoop","STRAT","cond2",15,10
"368","106","Freerider","PREF","cond2",0,10
"369","180","CondCoop","RAND","cond2",1,10
"370","137","Freerider","PREF","cond2",0,10
"371","76","Freerider","PREF","cond2",0,10
"372","171","Freerider","RAND","cond2",0,10
"373","51","CondCoop","STRAT","cond2",0,10
"374","32","CondCoop","STRAT","cond2",20,10
"375","5","CondCoop","STRAT","cond2",0,10
"376","34","CondCoop","STRAT","cond2",0,10
"377","7","Freerider","STRAT","cond2",0,10
"378","29","CondCoop","STRAT","cond2",50,10
"379","64","CondCoop","STRAT","cond2",6,10
"380","53","CondCoop","STRAT","cond2",40,10
"381","49","CondCoop","STRAT","cond2",10,10
"382","61","CondCoop","STRAT","cond2",0,10
"383","17","CondCoop","STRAT","cond2",10,10
"384","62","CondCoop","STRAT","cond2",15,10
"385","173","CondCoop","RAND","cond3",20,20
"386","172","CondCoop","RAND","cond3",20,20
"387","159","Others","RAND","cond3",10,20
"388","42","CondCoop","STRAT","cond3",0,20
"389","70","CondCoop","STRAT","cond3",0,20
"390","41","Freerider","STRAT","cond3",0,20
"391","21","CondCoop","STRAT","cond3",50,20
"392","56","Others","STRAT","cond3",50,20
"393","125","Freerider","PREF","cond3",2,20
"394","12","Freerider","STRAT","cond3",0,20
